Skill,Category,Priority,Type,Aliases
Apache Spark,Data Engineering,High,Technical,
Apache Kafka,Data Engineering,High,Technical,
Apache Airflow,Data Engineering,High,Technical,
ETL,Data Engineering,High,Technical,
ELT,Data Engineering,Medium,Technical,
Data Pipeline,Data Engineering,High,Technical,
Data Warehouse,Data Engineering,High,Technical,
Data Lake,Data Engineering,Medium,Technical,
Snowflake,Data Engineering,High,Technical,
Redshift,Data Engineering,Medium,Technical,
BigQuery,Data Engineering,High,Technical,
Delta Lake,Data Engineering,Medium,Technical,
Apache Hive,Data Engineering,Medium,Technical,
