Skill,Category,Priority,Type,Aliases
Android Development,Mobile Development,High,Technical,
iOS Development,Mobile Development,High,Technical,
Flutter,Mobile Development,High,Technical,
React Native,Mobile Development,High,Technical,
Kotlin,Mobile Development,High,Technical,
Swift,Mobile Development,High,Technical,
Jetpack Compose,Mobile Development,Medium,Technical,
XML Layouts,Mobile Development,Medium,Technical,
Firebase,Mobile Development,High,Technical,
SQLite,Mobile Development,Medium,Technical,
Room Database,Mobile Development,Medium,Technical,
MVVM,Mobile Development,Medium,Technical,
REST API Integration,Mobile Development,High,Technical,
Push Notifications,Mobile Development,Medium,Technical,
Google Maps API,Mobile Development,Medium,Technical,
